Author,Title,Rating,Cover Art,Audiobook?,ISBN-13,Month,Original Language,Type,Year
Katherine Morgan Schafier,The Perfectionist’s Guide to Losing Control,4,Book%20Journal/Screenshot_2024-12-22_at_5.22.07_PM.png,No,9780593329528,December,,Non-Fiction,2024
Asako Yuzuki,Butter,4,Book%20Journal/Screenshot_2024-11-29_at_6.07.37_PM.png,No,9780063236417,December,Japanese,Fiction,2024
Dr. Craig Malkin,Rethinking Narcissism: The Bad — and Surprising Good — about Feeling Special,5,Book%20Journal/Screenshot_2024-11-26_at_7.53.24_PM.png,No,9780062348104,November,English,Non-Fiction,2024
Taylor Jenkins Reid,Daisy Jones and the Six,4,Book%20Journal/Screenshot_2024-11-29_at_6.20.07_PM.png,No,9781524798642,December,English,Fiction,2024
Riley Sager,The Only One Left,3,Book%20Journal/Screenshot_2024-11-29_at_6.17.49_PM.png,No,9780593183229,December,English,Fiction,2024
"Emily Nagoski, Amelia Nagoski",Burnout,4,Book%20Journal/IMG_6842.jpeg,No,9781984818324,October,English,Fiction,2024
Matt Haig,The Midnight Library,4,Book%20Journal/Screenshot_2024-10-20_at_11.12.41_AM.png,No,9780525559498,October,English,Fiction,2024
LaTonya Wilkins,Leading Below the Surface: How to Build Real (and Psychologically Safe) Relationships with People Who Are Different from You,5,Book%20Journal/Screenshot_2024-10-06_at_12.47.16_PM.png,No,9781951591847,September,English,Non-Fiction,2024
Sheila Heti,Pure Colour,2,Book%20Journal/Screenshot_2024-08-01_at_11.06.21_AM.png,No,9780374603946,October,English,Fiction,2024
Richard Osman,The Thursday Murder Club,4,Book%20Journal/Screenshot_2024-07-25_at_12.53.44_PM.png,No,9781984880987,July,English,Fiction,2024
Jessica Johns,Bad Cree,4,Book%20Journal/Screenshot_2024-06-27_at_1.33.08_PM.png,No,9780593467947,June,English,Fiction,2024
"Theresa MacPhail ",Allergic: Our Irritated Bodies in a Changing World,5,Book%20Journal/Screenshot_2024-06-19_at_5.17.58_PM.png,Yes,9780593229194,November,English,Non-Fiction,2024
James Clear,Atomic Habits,5,Book%20Journal/81YkqyaFVEL._AC_UF10001000_QL80_.jpg,No,9780735211292,June,English,Non-Fiction,2024
Gabriel Garcia Marquez,Love in the Time of Cholera,4,Book%20Journal/61OBwknuKsL._AC_UF10001000_QL80_.jpg,No,9780307389732,May,Spanish,Fiction,2024
